ctx_len,block_size,top_k,delta,slack_abs_median,slack_abs_p95,slack_rel_median,slack_rel_p95,overlap_with_fixed_topk,row_identical_with_fixed_topk,total_violations
16384,64,6,1.0,43.060267857142854,72.24553571428571,10.938272408076696,127.27757821764264,0.3988786382334573,0.027309553963797435,0
2048,64,4,1.0,44.5,76.35267857142857,9.86111284153802,105.73603442737034,0.5480837140764508,0.15381949288504465,0
2048,64,6,1.0,44.5,76.35267857142857,9.86111284153802,105.73603442737034,0.6392700629574912,0.2073789324079241,0
2048,64,8,1.0,44.5,76.35267857142857,9.86111284153802,105.73603442737034,0.7082680293491909,0.2655388968331473,0
32768,64,6,1.0,42.455357142857146,71.25,9.48123048884528,114.49811104365757,0.3683198552046503,0.014104843139648438,0
8192,64,6,1.0,43.55357142857143,73.37946428571429,11.426603751523155,127.83230897358486,0.44873870270592825,0.05339595249720982,0
